index,SKU Code,Design No.,Stock,Size,Color,BrandCode,CategoryName
53,AN212-WHITE-XL,AN212,21,XL,White,AN,LEGGINGS
54,AN212-WHITE-XXL,AN212,12,XXL,White,AN,LEGGINGS
55,AN213-BROWN-L,AN213,2,L,Brown,AN,LEGGINGS
56,AN213-BROWN-M,AN213,7,M,Brown,AN,LEGGINGS
57,AN213-BROWN-S,AN213,8,S,Brown,AN,LEGGINGS
58,AN213-BROWN-XL,AN213,6,XL,Brown,AN,LEGGINGS
59,AN213-BROWN-XXL,AN213,8,XXL,Brown,AN,LEGGINGS
60,BL001-50PINK,BL001,33,FREE,Pink,BLOUSE,
61,BL003-50BLACK,BL003,117,FREE,Black,BLOUSE,
62,BL004-50CHIKU,BL004,38,FREE,Beige,BLOUSE,
63,BL005-54RED,BL005,16,FREE,Red,BLOUSE,
64,BL006-54BLACK,BL006,112,FREE,Black,BLOUSE,
65,#REF!,BL006,0,FREE,Black,BLOUSE,
66,BL007-61PINK,BL007,56,FREE,Pink,BLOUSE,
67,BL008-61RED,BL008,35,FREE,Red,BLOUSE,
68,#REF!,BL008,0,FREE,Red,BLOUSE,
69,BL009-61BLACK,BL009,575,FREE,Black,BLOUSE,
70,BL010-61CHIKU,BL010,75,FREE,Beige,BLOUSE,
71,BL011-62PINK,BL011,22,FREE,Pink,BLOUSE,
72,BL013-62BLACK,BL013,399,FREE,Black,BLOUSE,
73,#REF!,BL013,0,FREE,Black,BLOUSE,
74,BL014-62CHIKU,BL014,73,FREE,Beige,BLOUSE,
75,BL015-63PINK,BL015,14,FREE,Pink,BLOUSE,
76,BL016-63RED,BL016,24,FREE,Red,BLOUSE,
77,BL017-63BLACK,BL017,208,FREE,Black,BLOUSE,
78,BL018-63BEIGE,BL018,39,FREE,Beige,BLOUSE,
79,BL019-71PINK,BL019,76,FREE,Pink,BLOUSE,
80,#REF!,BL019,0,FREE,Pink,BLOUSE,
81,BL020-71RED,BL020,38,FREE,Red,BLOUSE,
82,BL021-71BLACK,BL021,628,FREE,Black,BLOUSE,
83,#REF!,BL021,0,FREE,Black,BLOUSE,
84,#REF!,BL021,0,FREE,Black,BLOUSE,
85,#REF!,BL021,1,FREE,Black,BLOUSE,
86,#REF!,BL021,0,FREE,Black,BLOUSE,
87,BL022-71BEIGE,BL022,106,FREE,Beige,BLOUSE,
88,#REF!,BL022,0,FREE,Beige,BLOUSE,
89,#REF!,BL022,0,FREE,Beige,BLOUSE,
90,BL023-74PINK,BL023,50,FREE,Pink,BLOUSE,
91,BL024-74RED,BL024,103,FREE,Red,BLOUSE,
92,BL025-74BLACK,BL025,199,FREE,Black,BLOUSE,
93,BL026-74BEIGE,BL026,98,FREE,Beige,BLOUSE,
94,BL029-78BLACK,BL029,201,FREE,Black,BLOUSE,
95,#REF!,BL029,0,FREE,Black,BLOUSE,
96,BL030-78BEIGE,BL030,10,FREE,Beige,BLOUSE,
97,BL031-79PINK,BL031,8,FREE,Pink,BLOUSE,
98,BL034-150GOLD,BL034,31,FREE,Gold,BLOUSE,
99,BL035-161GOLD,BL035,448,FREE,Gold,BLOUSE,
100,#REF!,BL035,0,FREE,Gold,BLOUSE,
101,BL036-176GOLD,BL036,45,FREE,Gold,BLOUSE,
102,#REF!,BL036,0,FREE,Gold,BLOUSE,
103,BL040-65PINK,BL040,31,FREE,Pink,BLOUSE,
104,BL041-65RED,BL041,30,FREE,Red,BLOUSE,
105,BL046-82RED,BL046,23,FREE,Red,BLOUSE,
106,BL050-83RED,BL050,63,FREE,Red,BLOUSE,
107,BL051-83BLACK,BL051,42,FREE,Black,BLOUSE,
108,BL053-153GOLD,BL053,20,FREE,Gold,BLOUSE,
109,BL055-164GOLD,BL055,68,FREE,Gold,BLOUSE,
110,BL056-185GOLD,BL056,23,FREE,Gold,BLOUSE,
111,BL057-65BLACK,BL057,114,FREE,Black,BLOUSE,
112,BL058-65BEIGE,BL058,20,FREE,Beige,BLOUSE,
113,#REF!,BL058,0,FREE,Beige,BLOUSE,
114,BL060-75RED,BL060,49,FREE,Red,BLOUSE,
115,BL061-75BLACK,BL061,488,FREE,Black,BLOUSE,
116,#REF!,BL061,0,FREE,Black,BLOUSE,
117,BL073-85BLACK,BL073,48,FREE,Black,BLOUSE,
118,BL074-85RED,BL074,17,FREE,Red,BLOUSE,
119,BL075-85CHIKU,BL075,7,FREE,Chiku,BLOUSE,
120,BL076-86BLACK,BL076,21,FREE,Black,BLOUSE,
121,BL077-86RED,BL077,8,FREE,Red,BLOUSE,
122,BL078-87BLACK,BL078,18,FREE,Black,BLOUSE,
123,BL079-87RED,BL079,12,FREE,Red,BLOUSE,
124,BL080-88BLACK,BL080,12,FREE,Black,BLOUSE,
125,BL081-88PINK,BL081,30,FREE,Pink,BLOUSE,
126,BL082-88CHIKU,BL082,9,FREE,Beige,BLOUSE,
127,BL083-186GOLD,BL083,16,FREE,Gold,BLOUSE,
128,BL084-187GOLD,BL084,11,FREE,Gold,BLOUSE,
129,BL085-L,BL085,24,L,Orange,BLOUSE,
130,BL085-M,BL085,15,M,Orange,BLOUSE,
131,BL085-S,BL085,12,S,Orange,BLOUSE,
132,BL085-XL,BL085,13,XL,Orange,BLOUSE,
133,BL085-XS,BL085,6,XS,Orange,BLOUSE,
134,BL085-XXL,BL085,11,XXL,Orange,BLOUSE,
136,BL086-L,BL086,4,L,Blue,BLOUSE,
137,BL086-M,BL086,5,M,Blue,BLOUSE,
138,BL086-S,BL086,2,S,Blue,BLOUSE,
139,BL086-XL,BL086,5,XL,Blue,BLOUSE,
140,BL086-XS,BL086,8,XS,Blue,BLOUSE,
141,BL086-XXL,BL086,3,XXL,Blue,BLOUSE,
143,BL087-L,BL087,48,L,Multicolor,BLOUSE,
144,BL087-M,BL087,89,M,Multicolor,BLOUSE,
145,BL087-S,BL087,11,S,Multicolor,BLOUSE,
146,BL087-XL,BL087,5,XL,Multicolor,BLOUSE,
147,BL087-XS,BL087,18,XS,Multicolor,BLOUSE,
148,BL087-XXL,BL087,86,XXL,Multicolor,BLOUSE,
149,BL089-L,BL089,4,L,Multicolor,BLOUSE,
150,BL089-M,BL089,4,M,Multicolor,BLOUSE,
151,BL089-S,BL089,3,S,Multicolor,BLOUSE,
152,BL089-XL,BL089,8,XL,Multicolor,BLOUSE,
153,BL089-XS,BL089,4,XS,Multicolor,BLOUSE,
154,BL089-XXL,BL089,7,XXL,Multicolor,BLOUSE,
155,BL090-L,BL090,30,L,Peach,BLOUSE,
156,BL090-M,BL090,44,M,Peach,BLOUSE,
157,BL090-S,BL090,11,S,Peach,BLOUSE,
158,BL090-XL,BL090,16,XL,Peach,BLOUSE,
159,BL090-XS,BL090,29,XS,Peach,BLOUSE,
160,BL090-XXL,BL090,19,XXL,Peach,BLOUSE,
161,BL091-L,BL091,4,L,Multicolor,BLOUSE,
162,BL091-M,BL091,4,M,Multicolor,BLOUSE,
163,BL091-S,BL091,7,S,Multicolor,BLOUSE,
164,BL091-XL,BL091,3,XL,Multicolor,BLOUSE,
165,BL091-XS,BL091,7,XS,Multicolor,BLOUSE,
166,BL091-XXL,BL091,3,XXL,Multicolor,BLOUSE,
167,BL092-L,BL092,20,L,Blue,BLOUSE,
168,BL092-M,BL092,22,M,Blue,BLOUSE,
169,BL092-S,BL092,13,S,Blue,BLOUSE,
170,BL092-XL,BL092,27,XL,Blue,BLOUSE,
171,BL092-XS,BL092,17,XS,Blue,BLOUSE,
172,BL092-XXL,BL092,25,XXL,Blue,BLOUSE,
173,BL093-L,BL093,2,L,Grey,BLOUSE,
174,BL093-M,BL093,2,M,Grey,BLOUSE,
175,BL093-S,BL093,11,S,Grey,BLOUSE,
176,BL093-XL,BL093,4,XL,Grey,BLOUSE,
177,BL093-XS,BL093,4,XS,Grey,BLOUSE,
178,BL093-XXL,BL093,3,XXL,Grey,BLOUSE,
179,BL095-L,BL095,51,L,Multicolor,BLOUSE,
180,BL095-M,BL095,34,M,Multicolor,BLOUSE,
181,BL095-S,BL095,51,S,Multicolor,BLOUSE,
182,BL095-XL,BL095,26,XL,Multicolor,BLOUSE,
183,BL095-XS,BL095,59,XS,Multicolor,BLOUSE,
184,BL095-XXL,BL095,32,XXL,Multicolor,BLOUSE,
185,BL096-L,BL096,2,L,Beige,BLOUSE,
186,BL096-M,BL096,2,M,Beige,BLOUSE,
187,BL096-S,BL096,8,S,Beige,BLOUSE,
188,BL096-XL,BL096,2,XL,Beige,BLOUSE,
189,BL096-XS,BL096,8,XS,Beige,BLOUSE,
190,BL096-XXL,BL096,2,XXL,Beige,BLOUSE,
191,BL097-L,BL097,42,L,Maroon,BLOUSE,
192,BL097-M,BL097,25,M,Maroon,BLOUSE,
193,BL097-S,BL097,39,S,Maroon,BLOUSE,
194,BL097-XL,BL097,11,XL,Maroon,BLOUSE,
195,BL097-XS,BL097,9,XS,Maroon,BLOUSE,
196,BL097-XXL,BL097,35,XXL,Maroon,BLOUSE,
199,BL098-L,BL098,25,L,Brown,BLOUSE,
200,BL098-M,BL098,31,M,Brown,BLOUSE,
201,BL098-S,BL098,39,S,Brown,BLOUSE,
202,BL098-XL,BL098,34,XL,Brown,BLOUSE,
203,BL098-XS,BL098,31,XS,Brown,BLOUSE,
204,BL098-XXL,BL098,27,XXL,Brown,BLOUSE,
205,BL099-L,BL099,5,L,Black,BLOUSE,
206,BL099-M,BL099,6,M,Black,BLOUSE,
207,BL099-S,BL099,9,S,Black,BLOUSE,
208,BL099-XL,BL099,6,XL,Black,BLOUSE,
209,BL099-XS,BL099,12,XS,Black,BLOUSE,
210,BL099-XXL,BL099,4,XXL,Black,BLOUSE,
211,BL100-L,BL100,4,L,Green,BLOUSE,
212,BL100-M,BL100,5,M,Green,BLOUSE,
213,BL100-S,BL100,6,S,Green,BLOUSE,
214,BL100-XL,BL100,8,XL,Green,BLOUSE,
215,BL100-XS,BL100,9,XS,Green,BLOUSE,
216,BL100-XXL,BL100,5,XXL,Green,BLOUSE,
217,BL101-L,BL101,2,L,Grey,BLOUSE,
218,BL101-M,BL101,3,M,Grey,BLOUSE,
219,BL101-S,BL101,8,S,Grey,BLOUSE,
220,BL101-XL,BL101,4,XL,Grey,BLOUSE,
221,BL101-XS,BL101,6,XS,Grey,BLOUSE,
222,BL101-XXL,BL101,2,XXL,Grey,BLOUSE,
224,BL102-L,BL102,7,L,Navy Blue,BLOUSE,
225,BL102-M,BL102,5,M,Navy Blue,BLOUSE,
226,BL102-S,BL102,16,S,Navy Blue,BLOUSE,
227,BL102-XL,BL102,19,XL,Navy Blue,BLOUSE,
228,BL102-XS,BL102,16,XS,Navy Blue,BLOUSE,
229,BL102-XXL,BL102,6,XXL,Navy Blue,BLOUSE,
230,BL103-L,BL103,7,L,Maroon,BLOUSE,
231,BL103-M,BL103,3,M,Maroon,BLOUSE,
232,BL103-S,BL103,29,S,Maroon,BLOUSE,
233,BL103-XL,BL103,8,XL,Maroon,BLOUSE,
234,BL103-XS,BL103,27,XS,Maroon,BLOUSE,
235,BL103-XXL,BL103,4,XXL,Maroon,BLOUSE,
236,BL104-L,BL104,32,L,Black,BLOUSE,
237,BL104-M,BL104,49,M,Black,BLOUSE,
238,BL104-S,BL104,14,S,Black,BLOUSE,
239,BL104-XL,BL104,20,XL,Black,BLOUSE,
240,BL104-XS,BL104,29,XS,Black,BLOUSE,
241,BL104-XXL,BL104,26,XXL,Black,BLOUSE,
242,BL107-L,BL107,2,L,White,BLOUSE,
243,BL107-M,BL107,2,M,White,BLOUSE,
244,BL107-S,BL107,15,S,White,BLOUSE,
245,BL107-XL,BL107,3,XL,White,BLOUSE,
246,BL107-XS,BL107,6,XS,White,BLOUSE,
247,BL107-XXL,BL107,4,XXL,White,BLOUSE,
249,BL109-L,BL109,23,L,Gold,BLOUSE,
250,BL109-M,BL109,37,M,Gold,BLOUSE,
251,BL109-S,BL109,34,S,Gold,BLOUSE,
252,BL109-XL,BL109,17,XL,Gold,BLOUSE,
253,BL109-XS,BL109,15,XS,Gold,BLOUSE,
254,BL109-XXL,BL109,9,XXL,Gold,BLOUSE,
255,BL110-L,BL110,8,L,Red,BLOUSE,
256,BL110-M,BL110,7,M,Red,BLOUSE,
257,BL110-S,BL110,18,S,Red,BLOUSE,
258,BL110-XL,BL110,8,XL,Red,BLOUSE,
259,BL110-XS,BL110,16,XS,Red,BLOUSE,
260,BL110-XXL,BL110,5,XXL,Red,BLOUSE,
261,BL111-L,BL111,9,L,Black,BLOUSE,
262,BL111-M,BL111,6,M,Black,BLOUSE,
263,BL111-S,BL111,11,S,Black,BLOUSE,
264,BL111-XL,BL111,4,XL,Black,BLOUSE,
265,BL111-XS,BL111,13,XS,Black,BLOUSE,
266,BL111-XXL,BL111,2,XXL,Black,BLOUSE,
267,BL113-L,BL113,4,L,Maroon,BLOUSE,
268,BL113-M,BL113,3,M,Maroon,BLOUSE,
269,BL113-S,BL113,11,S,Maroon,BLOUSE,
270,BL113-XL,BL113,8,XL,Maroon,BLOUSE,
271,BL113-XS,BL113,27,XS,Maroon,BLOUSE,
272,BL113-XXL,BL113,7,XXL,Maroon,BLOUSE,
274,BL0115-S,BL115,2,S,Olive,BLOUSE,
275,BTM002-L,BTM002,61,L,White,PANT,
276,BTM002-M,BTM002,40,M,White,PANT,
277,BTM002-S,BTM002,85,S,White,PANT,
278,BTM002-XL,BTM002,22,XL,White,PANT,
279,BTM002-XS,BTM002,158,XS,White,PANT,
280,BTM002-XXL,BTM002,158,XXL,White,PANT,
281,BTM002-XXXL,BTM002,194,XXXL,White,PANT,
282,BTM003-L,BTM003,32,L,Maroon,PANT,
283,BTM003-M,BTM003,25,M,Maroon,PANT,
284,BTM003-S,BTM003,35,S,Maroon,PANT,
285,BTM003-XL,BTM003,24,XL,Maroon,PANT,
286,BTM003-XS,BTM003,40,XS,Maroon,PANT,
287,BTM003-XXL,BTM003,4,XXL,Maroon,PANT,
288,BTM003-XXXL,BTM003,4,XXXL,Maroon,PANT,
289,BTM004-L,BTM004,1,L,White,BOTTOM,
290,BTM004-S,BTM004,2,S,White,BOTTOM,
291,BTM004-XL,BTM004,3,XL,White,BOTTOM,
292,BTM004-XS,BTM004,0,XS,White,BOTTOM,
293,BTM004-XXL,BTM004,2,XXL,White,BOTTOM,
294,BTM004-XXXL,BTM004,3,XXXL,White,BOTTOM,
295,BTM005-L,BTM005,398,L,Black,PANT,
296,BTM005-M,BTM005,250,M,Black,PANT,
297,BTM005-S,BTM005,347,S,Black,PANT,
298,BTM005-XL,BTM005,75,XL,Black,PANT,
299,BTM005-XS,BTM005,88,XS,Black,PANT,
300,BTM005-XXL,BTM005,21,XXL,Black,PANT,
301,BTM005-XXXL,BTM005,59,XXXL,Black,PANT,
302,BTM006-L,BTM006,2,L,Green,BOTTOM,
303,BTM006-M,BTM006,2,M,Green,BOTTOM,
304,BTM006-S,BTM006,1,S,Green,BOTTOM,
305,BTM006-XL,BTM006,3,XL,Green,BOTTOM,
306,BTM006-XS,BTM006,3,XS,Green,BOTTOM,
307,BTM006-XXL,BTM006,3,XXL,Green,BOTTOM,
308,BTM006-XXXL,BTM006,4,XXXL,Green,BOTTOM,
309,BTM007-L,BTM007,2,L,Beige,BOTTOM,
310,BTM007-M,BTM007,1,M,Beige,BOTTOM,
311,BTM007-S,BTM007,2,S,Beige,BOTTOM,
312,BTM007-XL,BTM007,3,XL,Beige,BOTTOM,
313,BTM007-XS,BTM007,2,XS,Beige,BOTTOM,
314,BTM007-XXL,BTM007,2,XXL,Beige,BOTTOM,
315,BTM008-L,BTM008,6,L,Grey,PANT,
316,BTM008-M,BTM008,1,M,Grey,PANT,
317,BTM008-S,BTM008,5,S,Grey,PANT,
318,BTM008-XL,BTM008,10,XL,Grey,PANT,
319,BTM008-XS,BTM008,21,XS,Grey,PANT,
320,BTM008-XXL,BTM008,6,XXL,Grey,PANT,
321,BTM008-XXXL,BTM008,15,XXXL,Grey,PANT,
322,BTM021-L,BTM021,136,L,Navy Blue,PANT,
323,BTM021-M,BTM021,63,M,Navy Blue,PANT,
324,BTM021-S,BTM021,134,S,Navy Blue,PANT,
325,BTM021-XL,BTM021,176,XL,Navy Blue,PANT,
326,BTM021-XS,BTM021,41,XS,Navy Blue,PANT,
327,BTM021-XXL,BTM021,92,XXL,Navy Blue,PANT,
328,BTM021-XXXL,BTM021,102,XXXL,Navy Blue,PANT,
329,BTM026-NP-L,BTM026,1,L,Red,PANT,
330,BTM026-NP-M,BTM026,6,M,Red,PANT,
331,BTM026-NP-S,BTM026,6,S,Red,PANT,
332,BTM026-NP-XL,BTM026,0,XL,Red,PANT,
333,BTM026-NP-XS,BTM026,23,XS,Red,PANT,
334,BTM026-NP-XXL,BTM026,0,XXL,Red,PANT,
335,BTM026-NP-XXXL,BTM026,3,XXXL,Red,PANT,
336,BTM027-NP-L,BTM027,14,L,Green,PANT,
337,BTM027-NP-M,BTM027,14,M,Green,PANT,
338,BTM027-NP-S,BTM027,37,S,Green,PANT,
339,BTM027-NP-XL,BTM027,8,XL,Green,PANT,
340,BTM027-NP-XS,BTM027,25,XS,Green,PANT,
341,BTM027-NP-XXL,BTM027,25,XXL,Green,PANT,
342,BTM027-NP-XXXL,BTM027,16,XXXL,Green,PANT,
343,BTM029-NP-L,BTM029,2,L,Beige,PANT,
344,BTM029-NP-M,BTM029,4,M,Beige,PANT,
345,BTM029-NP-S,BTM029,1,S,Beige,PANT,
346,BTM029-NP-XL,BTM029,2,XL,Beige,PANT,
347,BTM029-NP-XS,BTM029,2,XS,Beige,PANT,
348,BTM029-NP-XXL,BTM029,0,XXL,Beige,PANT,
349,BTM029-NP-XXXL,BTM029,1,XXXL,Beige,PANT,
350,BTM030-NP-L,BTM030,0,L,Dark Green,PANT,
351,BTM030-NP-M,BTM030,1,M,Dark Green,PANT,
352,BTM030-NP-S,BTM030,8,S,Dark Green,PANT,
353,BTM030-NP-XL,BTM030,1,XL,Dark Green,PANT,
354,BTM030-NP-XS,BTM030,7,XS,Dark Green,PANT,
355,BTM030-NP-XXL,BTM030,1,XXL,Dark Green,PANT,
356,BTM030-NP-XXXL,BTM030,5,XXXL,Dark Green,PANT,
357,BTM031-NP-L,BTM031,43,L,Brown,PANT,
358,BTM031-NP-M,BTM031,6,M,Brown,PANT,
359,BTM031-NP-S,BTM031,56,S,Brown,PANT,
360,BTM031-NP-XL,BTM031,13,XL,Brown,PANT,
361,BTM031-NP-XS,BTM031,20,XS,Brown,PANT,
362,BTM031-NP-XXL,BTM031,56,XXL,Brown,PANT,
363,BTM031-NP-XXXL,BTM031,50,XXXL,Brown,PANT,
364,BTM032-NP-L,BTM032,1,L,Pink,PANT,
365,BTM032-NP-M,BTM032,1,M,Pink,PANT,
366,BTM032-NP-S,BTM032,2,S,Pink,PANT,
367,BTM032-NP-XL,BTM032,1,XL,Pink,PANT,
368,BTM032-NP-XS,BTM032,5,XS,Pink,PANT,
369,BTM032-NP-XXL,BTM032,3,XXL,Pink,PANT,
370,BTM032-NP-XXXL,BTM032,1,XXXL,Pink,PANT,
371,BTM033-NP-L,BTM033,0,L,Turquoise Blue,PANT,
372,BTM033-NP-M,BTM033,1,M,Turquoise Blue,PANT,
373,BTM033-NP-S,BTM033,1,S,Turquoise Blue,PANT,
374,BTM033-NP-XL,BTM033,1,XL,Turquoise Blue,PANT,
375,BTM033-NP-XS,BTM033,5,XS,Turquoise Blue,PANT,
376,BTM033-NP-XXL,BTM033,3,XXL,Turquoise Blue,PANT,
377,BTM033-NP-XXXL,BTM033,2,XXXL,Turquoise Blue,PANT,
378,BTM035-NP-L,BTM035,0,L,Mustard,PANT,
379,BTM035-NP-M,BTM035,0,M,Mustard,PANT,
380,BTM035-NP-S,BTM035,4,S,Mustard,PANT,
381,BTM035-NP-XL,BTM035,1,XL,Mustard,PANT,
382,BTM035-NP-XS,BTM035,12,XS,Mustard,PANT,
383,BTM035-NP-XXL,BTM035,3,XXL,Mustard,PANT,
384,BTM035-NP-XXXL,BTM035,4,XXXL,Mustard,PANT,
385,BTM036-PP-L,BTM036,3,L,Red,PALAZZO,
386,BTM036-PP-M,BTM036,10,M,Red,PALAZZO,
387,BTM036-PP-S,BTM036,8,S,Red,PALAZZO,
388,BTM036-PP-XL,BTM036,6,XL,Red,PALAZZO,
389,BTM036-PP-XS,BTM036,33,XS,Red,PALAZZO,
390,BTM036-PP-XXL,BTM036,3,XXL,Red,PALAZZO,
391,BTM036-PP-XXXL,BTM036,6,XXXL,Red,PALAZZO,
392,BTM037-PP-L,BTM037,2,L,Teal,PALAZZO,
393,BTM037-PP-M,BTM037,4,M,Teal,PALAZZO,
394,BTM037-PP-S,BTM037,7,S,Teal,PALAZZO,
395,BTM037-PP-XL,BTM037,3,XL,Teal,PALAZZO,
396,BTM037-PP-XS,BTM037,21,XS,Teal,PALAZZO,
397,BTM037-PP-XXL,BTM037,3,XXL,Teal,PALAZZO,
398,BTM037-PP-XXXL,BTM037,3,XXXL,Teal,PALAZZO,
399,BTM038-PP-L,BTM038,3,L,Black,PALAZZO,
400,BTM038-PP-M,BTM038,2,M,Black,PALAZZO,
401,BTM038-PP-S,BTM038,6,S,Black,PALAZZO,
402,BTM038-PP-XL,BTM038,2,XL,Black,PALAZZO,
403,BTM038-PP-XS,BTM038,30,XS,Black,PALAZZO,
404,BTM038-PP-XXL,BTM038,3,XXL,Black,PALAZZO,
405,BTM038-PP-XXXL,BTM038,1,XXXL,Black,PALAZZO,
406,BTM039-PP-L,BTM039,2,L,White,PALAZZO,
407,BTM039-PP-M,BTM039,2,M,White,PALAZZO,
408,BTM039-PP-S,BTM039,4,S,White,PALAZZO,
409,BTM039-PP-XL,BTM039,2,XL,White,PALAZZO,
410,BTM039-PP-XS,BTM039,11,XS,White,PALAZZO,
411,BTM039-PP-XXL,BTM039,2,XXL,White,PALAZZO,
412,BTM039-PP-XXXL,BTM039,4,XXXL,White,PALAZZO,
413,BTM040-PP-L,BTM040,2,L,Brown,PALAZZO,
414,BTM040-PP-M,BTM040,4,M,Brown,PALAZZO,
415,BTM040-PP-S,BTM040,36,S,Brown,PALAZZO,
416,BTM040-PP-XL,BTM040,3,XL,Brown,PALAZZO,
417,BTM040-PP-XS,BTM040,35,XS,Brown,PALAZZO,
418,BTM040-PP-XXL,BTM040,4,XXL,Brown,PALAZZO,
419,BTM040-PP-XXXL,BTM040,2,XXXL,Brown,PALAZZO,
420,BTM041-PP-L,BTM041,6,L,Grey,PALAZZO,
421,BTM041-PP-M,BTM041,5,M,Grey,PALAZZO,
422,BTM041-PP-S,BTM041,51,S,Grey,PALAZZO,
423,BTM041-PP-XL,BTM041,7,XL,Grey,PALAZZO,
424,BTM041-PP-XS,BTM041,50,XS,Grey,PALAZZO,
425,BTM041-PP-XXL,BTM041,7,XXL,Grey,PALAZZO,
426,BTM041-PP-XXXL,BTM041,7,XXXL,Grey,PALAZZO,
427,BTM042-PP-L,BTM042,3,L,Mustard,PALAZZO,
428,BTM042-PP-M,BTM042,3,M,Mustard,PALAZZO,
429,BTM042-PP-S,BTM042,29,S,Mustard,PALAZZO,
430,BTM042-PP-XL,BTM042,3,XL,Mustard,PALAZZO,
431,BTM042-PP-XS,BTM042,55,XS,Mustard,PALAZZO,
432,BTM042-PP-XXL,BTM042,6,XXL,Mustard,PALAZZO,
433,BTM042-PP-XXXL,BTM042,3,XXXL,Mustard,PALAZZO,
434,BTM043-PP-L,BTM043,2,L,Khaki,PALAZZO,
435,BTM043-PP-M,BTM043,2,M,Khaki,PALAZZO,
436,BTM043-PP-S,BTM043,4,S,Khaki,PALAZZO,
437,BTM043-PP-XL,BTM043,3,XL,Khaki,PALAZZO,
438,BTM043-PP-XS,BTM043,8,XS,Khaki,PALAZZO,
439,BTM043-PP-XXL,BTM043,3,XXL,Khaki,PALAZZO,
