ProductKey,SKU Code,Design No.,Size,Color,BrandCode,CategoryName
100,BL035-161GOLD,BL035,FREE,Gold,BLOUSE,
101,#REF!,BL035,FREE,Gold,BLOUSE,
102,BL036-176GOLD,BL036,FREE,Gold,BLOUSE,
103,#REF!,BL036,FREE,Gold,BLOUSE,
104,BL040-65PINK,BL040,FREE,Pink,BLOUSE,
105,BL041-65RED,BL041,FREE,Red,BLOUSE,
106,BL046-82RED,BL046,FREE,Red,BLOUSE,
107,BL050-83RED,BL050,FREE,Red,BLOUSE,
108,BL051-83BLACK,BL051,FREE,Black,BLOUSE,
109,BL053-153GOLD,BL053,FREE,Gold,BLOUSE,
110,BL055-164GOLD,BL055,FREE,Gold,BLOUSE,
111,BL056-185GOLD,BL056,FREE,Gold,BLOUSE,
112,BL057-65BLACK,BL057,FREE,Black,BLOUSE,
113,BL058-65BEIGE,BL058,FREE,Beige,BLOUSE,
114,#REF!,BL058,FREE,Beige,BLOUSE,
115,BL060-75RED,BL060,FREE,Red,BLOUSE,
116,BL061-75BLACK,BL061,FREE,Black,BLOUSE,
117,#REF!,BL061,FREE,Black,BLOUSE,
118,BL073-85BLACK,BL073,FREE,Black,BLOUSE,
119,BL074-85RED,BL074,FREE,Red,BLOUSE,
120,BL075-85CHIKU,BL075,FREE,Chiku,BLOUSE,
121,BL076-86BLACK,BL076,FREE,Black,BLOUSE,
122,BL077-86RED,BL077,FREE,Red,BLOUSE,
123,BL078-87BLACK,BL078,FREE,Black,BLOUSE,
124,BL079-87RED,BL079,FREE,Red,BLOUSE,
125,BL080-88BLACK,BL080,FREE,Black,BLOUSE,
126,BL081-88PINK,BL081,FREE,Pink,BLOUSE,
127,BL082-88CHIKU,BL082,FREE,Beige,BLOUSE,
128,BL083-186GOLD,BL083,FREE,Gold,BLOUSE,
129,BL084-187GOLD,BL084,FREE,Gold,BLOUSE,
130,BL085-L,BL085,L,Orange,BLOUSE,
131,BL085-M,BL085,M,Orange,BLOUSE,
132,BL085-S,BL085,S,Orange,BLOUSE,
133,BL085-XL,BL085,XL,Orange,BLOUSE,
134,BL085-XS,BL085,XS,Orange,BLOUSE,
135,BL085-XXL,BL085,XXL,Orange,BLOUSE,
136,BL086-L,BL086,L,Blue,BLOUSE,
137,BL086-M,BL086,M,Blue,BLOUSE,
138,BL086-S,BL086,S,Blue,BLOUSE,
139,BL086-XL,BL086,XL,Blue,BLOUSE,
140,BL086-XS,BL086,XS,Blue,BLOUSE,
141,BL086-XXL,BL086,XXL,Blue,BLOUSE,
142,BL087-L,BL087,L,Multicolor,BLOUSE,
143,BL087-M,BL087,M,Multicolor,BLOUSE,
144,BL087-S,BL087,S,Multicolor,BLOUSE,
145,BL087-XL,BL087,XL,Multicolor,BLOUSE,
146,BL087-XS,BL087,XS,Multicolor,BLOUSE,
147,BL087-XXL,BL087,XXL,Multicolor,BLOUSE,
148,BL089-L,BL089,L,Multicolor,BLOUSE,
149,BL089-M,BL089,M,Multicolor,BLOUSE,
150,BL089-S,BL089,S,Multicolor,BLOUSE,
151,BL089-XL,BL089,XL,Multicolor,BLOUSE,
152,BL089-XS,BL089,XS,Multicolor,BLOUSE,
153,BL089-XXL,BL089,XXL,Multicolor,BLOUSE,
154,BL090-L,BL090,L,Peach,BLOUSE,
155,BL090-M,BL090,M,Peach,BLOUSE,
156,BL090-S,BL090,S,Peach,BLOUSE,
157,BL090-XL,BL090,XL,Peach,BLOUSE,
158,BL090-XS,BL090,XS,Peach,BLOUSE,
159,BL090-XXL,BL090,XXL,Peach,BLOUSE,
160,BL091-L,BL091,L,Multicolor,BLOUSE,
161,BL091-M,BL091,M,Multicolor,BLOUSE,
162,BL091-S,BL091,S,Multicolor,BLOUSE,
163,BL091-XL,BL091,XL,Multicolor,BLOUSE,
164,BL091-XS,BL091,XS,Multicolor,BLOUSE,
165,BL091-XXL,BL091,XXL,Multicolor,BLOUSE,
166,BL092-L,BL092,L,Blue,BLOUSE,
167,BL092-M,BL092,M,Blue,BLOUSE,
168,BL092-S,BL092,S,Blue,BLOUSE,
169,BL092-XL,BL092,XL,Blue,BLOUSE,
170,BL092-XS,BL092,XS,Blue,BLOUSE,
171,BL092-XXL,BL092,XXL,Blue,BLOUSE,
172,BL093-L,BL093,L,Grey,BLOUSE,
173,BL093-M,BL093,M,Grey,BLOUSE,
174,BL093-S,BL093,S,Grey,BLOUSE,
175,BL093-XL,BL093,XL,Grey,BLOUSE,
176,BL093-XS,BL093,XS,Grey,BLOUSE,
177,BL093-XXL,BL093,XXL,Grey,BLOUSE,
178,BL095-L,BL095,L,Multicolor,BLOUSE,
179,BL095-M,BL095,M,Multicolor,BLOUSE,
180,BL095-S,BL095,S,Multicolor,BLOUSE,
181,BL095-XL,BL095,XL,Multicolor,BLOUSE,
182,BL095-XS,BL095,XS,Multicolor,BLOUSE,
183,BL095-XXL,BL095,XXL,Multicolor,BLOUSE,
184,BL096-L,BL096,L,Beige,BLOUSE,
185,BL096-M,BL096,M,Beige,BLOUSE,
186,BL096-S,BL096,S,Beige,BLOUSE,
187,BL096-XL,BL096,XL,Beige,BLOUSE,
188,BL096-XS,BL096,XS,Beige,BLOUSE,
189,BL096-XXL,BL096,XXL,Beige,BLOUSE,
190,BL097-L,BL097,L,Maroon,BLOUSE,
191,BL097-M,BL097,M,Maroon,BLOUSE,
192,BL097-S,BL097,S,Maroon,BLOUSE,
193,BL097-XL,BL097,XL,Maroon,BLOUSE,
194,BL097-XS,BL097,XS,Maroon,BLOUSE,
195,BL097-XXL,BL097,XXL,Maroon,BLOUSE,
196,BL098-L,BL098,L,Brown,BLOUSE,
197,BL098-M,BL098,M,Brown,BLOUSE,
198,BL098-S,BL098,S,Brown,BLOUSE,
199,BL098-XL,BL098,XL,Brown,BLOUSE,
200,BL098-XS,BL098,XS,Brown,BLOUSE,
201,BL098-XXL,BL098,XXL,Brown,BLOUSE,
202,BL099-L,BL099,L,Black,BLOUSE,
203,BL099-M,BL099,M,Black,BLOUSE,
204,BL099-S,BL099,S,Black,BLOUSE,
205,BL099-XL,BL099,XL,Black,BLOUSE,
206,BL099-XS,BL099,XS,Black,BLOUSE,
207,BL099-XXL,BL099,XXL,Black,BLOUSE,
208,BL100-L,BL100,L,Green,BLOUSE,
209,BL100-M,BL100,M,Green,BLOUSE,
210,BL100-S,BL100,S,Green,BLOUSE,
211,BL100-XL,BL100,XL,Green,BLOUSE,
212,BL100-XS,BL100,XS,Green,BLOUSE,
213,BL100-XXL,BL100,XXL,Green,BLOUSE,
214,BL101-L,BL101,L,Grey,BLOUSE,
215,BL101-M,BL101,M,Grey,BLOUSE,
216,BL101-S,BL101,S,Grey,BLOUSE,
217,BL101-XL,BL101,XL,Grey,BLOUSE,
218,BL101-XS,BL101,XS,Grey,BLOUSE,
219,BL101-XXL,BL101,XXL,Grey,BLOUSE,
220,BL102-L,BL102,L,Navy Blue,BLOUSE,
221,BL102-M,BL102,M,Navy Blue,BLOUSE,
222,BL102-S,BL102,S,Navy Blue,BLOUSE,
223,BL102-XL,BL102,XL,Navy Blue,BLOUSE,
224,BL102-XS,BL102,XS,Navy Blue,BLOUSE,
225,BL102-XXL,BL102,XXL,Navy Blue,BLOUSE,
226,BL103-L,BL103,L,Maroon,BLOUSE,
227,BL103-M,BL103,M,Maroon,BLOUSE,
228,BL103-S,BL103,S,Maroon,BLOUSE,
229,BL103-XL,BL103,XL,Maroon,BLOUSE,
230,BL103-XS,BL103,XS,Maroon,BLOUSE,
231,BL103-XXL,BL103,XXL,Maroon,BLOUSE,
232,BL104-L,BL104,L,Black,BLOUSE,
233,BL104-M,BL104,M,Black,BLOUSE,
234,BL104-S,BL104,S,Black,BLOUSE,
235,BL104-XL,BL104,XL,Black,BLOUSE,
236,BL104-XS,BL104,XS,Black,BLOUSE,
237,BL104-XXL,BL104,XXL,Black,BLOUSE,
238,BL107-L,BL107,L,White,BLOUSE,
239,BL107-M,BL107,M,White,BLOUSE,
240,BL107-S,BL107,S,White,BLOUSE,
241,BL107-XL,BL107,XL,White,BLOUSE,
242,BL107-XS,BL107,XS,White,BLOUSE,
243,BL107-XXL,BL107,XXL,White,BLOUSE,
244,BL109-L,BL109,L,Gold,BLOUSE,
245,BL109-M,BL109,M,Gold,BLOUSE,
246,BL109-S,BL109,S,Gold,BLOUSE,
247,BL109-XL,BL109,XL,Gold,BLOUSE,
248,BL109-XS,BL109,XS,Gold,BLOUSE,
249,BL109-XXL,BL109,XXL,Gold,BLOUSE,
250,BL110-L,BL110,L,Red,BLOUSE,
251,BL110-M,BL110,M,Red,BLOUSE,
252,BL110-S,BL110,S,Red,BLOUSE,
253,BL110-XL,BL110,XL,Red,BLOUSE,
254,BL110-XS,BL110,XS,Red,BLOUSE,
255,BL110-XXL,BL110,XXL,Red,BLOUSE,
256,BL111-L,BL111,L,Black,BLOUSE,
257,BL111-M,BL111,M,Black,BLOUSE,
258,BL111-S,BL111,S,Black,BLOUSE,
259,BL111-XL,BL111,XL,Black,BLOUSE,
260,BL111-XS,BL111,XS,Black,BLOUSE,
261,BL111-XXL,BL111,XXL,Black,BLOUSE,
262,BL113-L,BL113,L,Maroon,BLOUSE,
263,BL113-M,BL113,M,Maroon,BLOUSE,
264,BL113-S,BL113,S,Maroon,BLOUSE,
265,BL113-XL,BL113,XL,Maroon,BLOUSE,
266,BL113-XS,BL113,XS,Maroon,BLOUSE,
267,BL113-XXL,BL113,XXL,Maroon,BLOUSE,
268,BL0115-S,BL115,S,Olive,BLOUSE,
269,BTM002-L,BTM002,L,White,PANT,
270,BTM002-M,BTM002,M,White,PANT,
271,BTM002-S,BTM002,S,White,PANT,
272,BTM002-XL,BTM002,XL,White,PANT,
273,BTM002-XS,BTM002,XS,White,PANT,
274,BTM002-XXL,BTM002,XXL,White,PANT,
275,BTM002-XXXL,BTM002,XXXL,White,PANT,
276,BTM003-L,BTM003,L,Maroon,PANT,
277,BTM003-M,BTM003,M,Maroon,PANT,
278,BTM003-S,BTM003,S,Maroon,PANT,
279,BTM003-XL,BTM003,XL,Maroon,PANT,
280,BTM003-XS,BTM003,XS,Maroon,PANT,
281,BTM003-XXL,BTM003,XXL,Maroon,PANT,
282,BTM003-XXXL,BTM003,XXXL,Maroon,PANT,
283,BTM004-L,BTM004,L,White,BOTTOM,
284,BTM004-S,BTM004,S,White,BOTTOM,
285,BTM004-XL,BTM004,XL,White,BOTTOM,
286,BTM004-XS,BTM004,XS,White,BOTTOM,
287,BTM004-XXL,BTM004,XXL,White,BOTTOM,
288,BTM004-XXXL,BTM004,XXXL,White,BOTTOM,
289,BTM005-L,BTM005,L,Black,PANT,
290,BTM005-M,BTM005,M,Black,PANT,
291,BTM005-S,BTM005,S,Black,PANT,
292,BTM005-XL,BTM005,XL,Black,PANT,
293,BTM005-XS,BTM005,XS,Black,PANT,
294,BTM005-XXL,BTM005,XXL,Black,PANT,
295,BTM005-XXXL,BTM005,XXXL,Black,PANT,
296,BTM006-L,BTM006,L,Green,BOTTOM,
297,BTM006-M,BTM006,M,Green,BOTTOM,
298,BTM006-S,BTM006,S,Green,BOTTOM,
299,BTM006-XL,BTM006,XL,Green,BOTTOM,
300,BTM006-XS,BTM006,XS,Green,BOTTOM,
301,BTM006-XXL,BTM006,XXL,Green,BOTTOM,
302,BTM006-XXXL,BTM006,XXXL,Green,BOTTOM,
303,BTM007-L,BTM007,L,Beige,BOTTOM,
304,BTM007-M,BTM007,M,Beige,BOTTOM,
305,BTM007-S,BTM007,S,Beige,BOTTOM,
306,BTM007-XL,BTM007,XL,Beige,BOTTOM,
307,BTM007-XS,BTM007,XS,Beige,BOTTOM,
308,BTM007-XXL,BTM007,XXL,Beige,BOTTOM,
309,BTM008-L,BTM008,L,Grey,PANT,
310,BTM008-M,BTM008,M,Grey,PANT,
311,BTM008-S,BTM008,S,Grey,PANT,
312,BTM008-XL,BTM008,XL,Grey,PANT,
313,BTM008-XS,BTM008,XS,Grey,PANT,
314,BTM008-XXL,BTM008,XXL,Grey,PANT,
315,BTM008-XXXL,BTM008,XXXL,Grey,PANT,
316,BTM021-L,BTM021,L,Navy Blue,PANT,
317,BTM021-M,BTM021,M,Navy Blue,PANT,
318,BTM021-S,BTM021,S,Navy Blue,PANT,
319,BTM021-XL,BTM021,XL,Navy Blue,PANT,
320,BTM021-XS,BTM021,XS,Navy Blue,PANT,
321,BTM021-XXL,BTM021,XXL,Navy Blue,PANT,
322,BTM021-XXXL,BTM021,XXXL,Navy Blue,PANT,
323,BTM026-NP-L,BTM026,L,Red,PANT,
324,BTM026-NP-M,BTM026,M,Red,PANT,
325,BTM026-NP-S,BTM026,S,Red,PANT,
326,BTM026-NP-XL,BTM026,XL,Red,PANT,
327,BTM026-NP-XS,BTM026,XS,Red,PANT,
328,BTM026-NP-XXL,BTM026,XXL,Red,PANT,
329,BTM026-NP-XXXL,BTM026,XXXL,Red,PANT,
330,BTM027-NP-L,BTM027,L,Green,PANT,
331,BTM027-NP-M,BTM027,M,Green,PANT,
332,BTM027-NP-S,BTM027,S,Green,PANT,
333,BTM027-NP-XL,BTM027,XL,Green,PANT,
334,BTM027-NP-XS,BTM027,XS,Green,PANT,
335,BTM027-NP-XXL,BTM027,XXL,Green,PANT,
336,BTM027-NP-XXXL,BTM027,XXXL,Green,PANT,
337,BTM029-NP-L,BTM029,L,Beige,PANT,
338,BTM029-NP-M,BTM029,M,Beige,PANT,
339,BTM029-NP-S,BTM029,S,Beige,PANT,
340,BTM029-NP-XL,BTM029,XL,Beige,PANT,
341,BTM029-NP-XS,BTM029,XS,Beige,PANT,
342,BTM029-NP-XXL,BTM029,XXL,Beige,PANT,
343,BTM029-NP-XXXL,BTM029,XXXL,Beige,PANT,
344,BTM030-NP-L,BTM030,L,Dark Green,PANT,
345,BTM030-NP-M,BTM030,M,Dark Green,PANT,
346,BTM030-NP-S,BTM030,S,Dark Green,PANT,
347,BTM030-NP-XL,BTM030,XL,Dark Green,PANT,
348,BTM030-NP-XS,BTM030,XS,Dark Green,PANT,
349,BTM030-NP-XXL,BTM030,XXL,Dark Green,PANT,
350,BTM030-NP-XXXL,BTM030,XXXL,Dark Green,PANT,
351,BTM031-NP-L,BTM031,L,Brown,PANT,
352,BTM031-NP-M,BTM031,M,Brown,PANT,
353,BTM031-NP-S,BTM031,S,Brown,PANT,
354,BTM031-NP-XL,BTM031,XL,Brown,PANT,
355,BTM031-NP-XS,BTM031,XS,Brown,PANT,
356,BTM031-NP-XXL,BTM031,XXL,Brown,PANT,
357,BTM031-NP-XXXL,BTM031,XXXL,Brown,PANT,
358,BTM032-NP-L,BTM032,L,Pink,PANT,
359,BTM032-NP-M,BTM032,M,Pink,PANT,
360,BTM032-NP-S,BTM032,S,Pink,PANT,
361,BTM032-NP-XL,BTM032,XL,Pink,PANT,
362,BTM032-NP-XS,BTM032,XS,Pink,PANT,
363,BTM032-NP-XXL,BTM032,XXL,Pink,PANT,
364,BTM032-NP-XXXL,BTM032,XXXL,Pink,PANT,
365,BTM033-NP-L,BTM033,L,Turquoise Blue,PANT,
366,BTM033-NP-M,BTM033,M,Turquoise Blue,PANT,
367,BTM033-NP-S,BTM033,S,Turquoise Blue,PANT,
368,BTM033-NP-XL,BTM033,XL,Turquoise Blue,PANT,
369,BTM033-NP-XS,BTM033,XS,Turquoise Blue,PANT,
370,BTM033-NP-XXL,BTM033,XXL,Turquoise Blue,PANT,
371,BTM033-NP-XXXL,BTM033,XXXL,Turquoise Blue,PANT,
372,BTM035-NP-L,BTM035,L,Mustard,PANT,
373,BTM035-NP-M,BTM035,M,Mustard,PANT,
374,BTM035-NP-S,BTM035,S,Mustard,PANT,
375,BTM035-NP-XL,BTM035,XL,Mustard,PANT,
376,BTM035-NP-XS,BTM035,XS,Mustard,PANT,
377,BTM035-NP-XXL,BTM035,XXL,Mustard,PANT,
378,BTM035-NP-XXXL,BTM035,XXXL,Mustard,PANT,
379,BTM036-PP-L,BTM036,L,Red,PALAZZO,
380,BTM036-PP-M,BTM036,M,Red,PALAZZO,
381,BTM036-PP-S,BTM036,S,Red,PALAZZO,
382,BTM036-PP-XL,BTM036,XL,Red,PALAZZO,
383,BTM036-PP-XS,BTM036,XS,Red,PALAZZO,
384,BTM036-PP-XXL,BTM036,XXL,Red,PALAZZO,
385,BTM036-PP-XXXL,BTM036,XXXL,Red,PALAZZO,
386,BTM037-PP-L,BTM037,L,Teal,PALAZZO,
387,BTM037-PP-M,BTM037,M,Teal,PALAZZO,
388,BTM037-PP-S,BTM037,S,Teal,PALAZZO,
389,BTM037-PP-XL,BTM037,XL,Teal,PALAZZO,
390,BTM037-PP-XS,BTM037,XS,Teal,PALAZZO,
391,BTM037-PP-XXL,BTM037,XXL,Teal,PALAZZO,
392,BTM037-PP-XXXL,BTM037,XXXL,Teal,PALAZZO,
393,BTM038-PP-L,BTM038,L,Black,PALAZZO,
394,BTM038-PP-M,BTM038,M,Black,PALAZZO,
395,BTM038-PP-S,BTM038,S,Black,PALAZZO,
396,BTM038-PP-XL,BTM038,XL,Black,PALAZZO,
397,BTM038-PP-XS,BTM038,XS,Black,PALAZZO,
398,BTM038-PP-XXL,BTM038,XXL,Black,PALAZZO,
399,BTM038-PP-XXXL,BTM038,XXXL,Black,PALAZZO,
400,BTM039-PP-L,BTM039,L,White,PALAZZO,
401,BTM039-PP-M,BTM039,M,White,PALAZZO,
402,BTM039-PP-S,BTM039,S,White,PALAZZO,
403,BTM039-PP-XL,BTM039,XL,White,PALAZZO,
404,BTM039-PP-XS,BTM039,XS,White,PALAZZO,
405,BTM039-PP-XXL,BTM039,XXL,White,PALAZZO,
406,BTM039-PP-XXXL,BTM039,XXXL,White,PALAZZO,
407,BTM040-PP-L,BTM040,L,Brown,PALAZZO,
408,BTM040-PP-M,BTM040,M,Brown,PALAZZO,
409,BTM040-PP-S,BTM040,S,Brown,PALAZZO,
410,BTM040-PP-XL,BTM040,XL,Brown,PALAZZO,
411,BTM040-PP-XS,BTM040,XS,Brown,PALAZZO,
412,BTM040-PP-XXL,BTM040,XXL,Brown,PALAZZO,
413,BTM040-PP-XXXL,BTM040,XXXL,Brown,PALAZZO,
414,BTM041-PP-L,BTM041,L,Grey,PALAZZO,
415,BTM041-PP-M,BTM041,M,Grey,PALAZZO,
416,BTM041-PP-S,BTM041,S,Grey,PALAZZO,
417,BTM041-PP-XL,BTM041,XL,Grey,PALAZZO,
418,BTM041-PP-XS,BTM041,XS,Grey,PALAZZO,
419,BTM041-PP-XXL,BTM041,XXL,Grey,PALAZZO,
420,BTM041-PP-XXXL,BTM041,XXXL,Grey,PALAZZO,
421,BTM042-PP-L,BTM042,L,Mustard,PALAZZO,
422,BTM042-PP-M,BTM042,M,Mustard,PALAZZO,
423,BTM042-PP-S,BTM042,S,Mustard,PALAZZO,
424,BTM042-PP-XL,BTM042,XL,Mustard,PALAZZO,
425,BTM042-PP-XS,BTM042,XS,Mustard,PALAZZO,
426,BTM042-PP-XXL,BTM042,XXL,Mustard,PALAZZO,
427,BTM042-PP-XXXL,BTM042,XXXL,Mustard,PALAZZO,
428,BTM043-PP-L,BTM043,L,Khaki,PALAZZO,
429,BTM043-PP-M,BTM043,M,Khaki,PALAZZO,
430,BTM043-PP-S,BTM043,S,Khaki,PALAZZO,
431,BTM043-PP-XL,BTM043,XL,Khaki,PALAZZO,
432,BTM043-PP-XS,BTM043,XS,Khaki,PALAZZO,
433,BTM043-PP-XXL,BTM043,XXL,Khaki,PALAZZO,
434,BTM043-PP-XXXL,BTM043,XXXL,Khaki,PALAZZO,
435,BTM044-PP-L,BTM044,L,Maroon,PALAZZO,
436,BTM044-PP-M,BTM044,M,Maroon,PALAZZO,
437,BTM044-PP-S,BTM044,S,Maroon,PALAZZO,
438,BTM044-PP-XL,BTM044,XL,Maroon,PALAZZO,
439,BTM044-PP-XS,BTM044,XS,Maroon,PALAZZO,
440,BTM044-PP-XXL,BTM044,XXL,Maroon,PALAZZO,
441,BTM044-PP-XXXL,BTM044,XXXL,Maroon,PALAZZO,
442,BTM045-PP-L,BTM045,L,Olive Green,PALAZZO,
443,BTM045-PP-M,BTM045,M,Olive Green,PALAZZO,
444,BTM045-PP-S,BTM045,S,Olive Green,PALAZZO,
445,BTM045-PP-XL,BTM045,XL,Olive Green,PALAZZO,
446,BTM045-PP-XS,BTM045,XS,Olive Green,PALAZZO,
447,BTM045-PP-XXL,BTM045,XXL,Olive Green,PALAZZO,
448,BTM045-PP-XXXL,BTM045,XXXL,Olive Green,PALAZZO,
449,BTM046-PP-L,BTM046,L,Navy Blue,PALAZZO,
450,BTM046-PP-M,BTM046,M,Navy Blue,PALAZZO,
451,BTM046-PP-S,BTM046,S,Navy Blue,PALAZZO,
452,BTM046-PP-XL,BTM046,XL,Navy Blue,PALAZZO,
453,BTM046-PP-XS,BTM046,XS,Navy Blue,PALAZZO,
454,BTM046-PP-XXL,BTM046,XXL,Navy Blue,PALAZZO,
455,BTM046-PP-XXXL,BTM046,XXXL,Navy Blue,PALAZZO,
456,BTM047-PP-L,BTM047,L,Pink,PALAZZO,
457,BTM047-PP-M,BTM047,M,Pink,PALAZZO,
458,BTM047-PP-S,BTM047,S,Pink,PALAZZO,
